Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
1969,Marquis de Sade: Justine,13.564,31,not_popular,Horror
2015,Tales of Halloween,13.563,360,not_popular,Horror
2015,Tales of Halloween,13.563,360,not_popular,Thriller
2015,Tales of Halloween,13.563,360,not_popular,Drama
2009,It's Complicated,13.563,1130,below_avg,Comedy
2009,It's Complicated,13.563,1130,below_avg,Romance
2018,Up to You,13.562,4,average,Romance
2015,Accidental Love,13.562,273,not_popular,Romance
2015,Accidental Love,13.562,273,not_popular,Comedy
1968,The Little Bather,13.562,265,average,Comedy
2015,A Little Chaos,13.561,566,below_avg,Drama
2015,A Little Chaos,13.561,566,below_avg,Romance
2005,The Family Stone,13.559,731,below_avg,Comedy
2005,The Family Stone,13.559,731,below_avg,Drama
2005,The Family Stone,13.559,731,below_avg,Romance
